filename,heteroatom,bond_angle[deg],scf_energy[hartree],bond_length[angstrom],ir_frequency[wavenumbers],force_constant[mg/s^2],carbon_partial_charge[-],heteroatom_partial_charge[-],homo_energy[hartree],somo-a_energy[hartree],somo-b_energy[hartree],lumo_energy[hartree],lumo+1_energy[hartree],lumo+2_energy[hartree],homo-1_energy[hartree],homo-2_energy[hartree],homo-3_energy[hartree],homo-4_energy[hartree],homo-5_energy[hartree],homo-6_energy[hartree],homo-7_energy[hartree],homo-8_energy[hartree],homo-9_energy[hartree],homo-10_energy[hartree],homo-11_energy[hartree],homo-12_energy[hartree],homo-13_energy[hartree],homo-14_energy[hartree],homo-15_energy[hartree]
CF3_radical_111.5_degrees.out,F,111.49998260443742,-337.632731018,1.314792807059736,1271.43,700.8708035297834,0.531781,-0.17725999999999997,-14.8624775549193,-10.1177916120611,-0.5335064152903,2.06226923878435,2.869236468134625,2.869236468134625,-15.488489073687076,-15.490557138950876,-16.380097316235375,-16.380532698396173,-18.569226032122824,-19.833222079080375,-19.834759522335702,-22.5812046154322,-37.53829615617035,-37.543765644565404,-39.88436653533368,-286.63017202569824,-676.2576133764505,-676.2578718846084,-676.2626746940698
CF3_radical_112.0_degrees.out,F,112.00000320995177,-337.632611162,1.3139719099812444,1278.49,708.6760085626637,0.530191,-0.17672999999999997,-14.883824886491023,-10.008728380780699,-0.4276541274458,2.0564187909986,2.864501687135925,2.864501687135925,-15.516924971064324,-15.52036721127315,-16.38258715796745,-16.38329465397875,-18.571634239699748,-19.847181519611027,-19.849630544265523,-22.579571932329202,-37.55934416250653,-37.568119834185154,-39.87901949817135,-286.6007020956891,-676.2696816257202,-676.2699265281856,-676.2775457159996
CF3_radical_112.5_degrees.out,F,112.50001765439897,-337.632320264,1.3132697455497406,1285.8,716.8031454598218,0.528432,-0.176144,-14.9047096245169,-9.89762429562155,-0.3204412703488,2.049765607353875,2.859522003671775,2.859522003671775,-15.545401685519149,-15.54872147449525,-16.384274263840553,-16.384968154159324,-18.57277711787185,-19.860215773049973,-19.86254234647175,-22.577299781677524,-37.58081394531098,-37.58912702344375,-39.871495550205026,-286.5711913486024,-676.2825798222339,-676.2828383303919,-676.2900629531226
CF3_radical_113.0_degrees.out,F,113.0000341236701,-337.6318479,1.3126163234036103,1293.02,724.8757055568962,0.526554,-0.17551766666666668,-14.924968500686624,-9.78344532395175,-0.2109426569076,2.0422824764651253,2.85422938927955,2.85422938927955,-15.573116481192574,-15.576463481553725,-16.385240268009827,-16.38596136971365,-18.57332134557285,-19.872270416627124,-19.87456977866385,-22.574360952092125,-37.601113638558274,-37.60930426545832,-39.86278790698903,-286.54066017457626,-676.2949473967391,-676.2952059048971,-676.3025393731681
CF3_radical_113.5_degrees.out,F,113.50000298765536,-337.631182578,1.3120048639622721,1300.47,733.2528096136517,0.524574,-0.17485800000000004,-14.944547092230101,-9.665783294995551,-0.09891338465675001,2.0338333414071,2.84862384395925,2.84862384395925,-15.600382289012675,-15.603212273057876,-16.385512381860323,-16.38612463802395,-18.573226105725176,-19.883481507267724,-19.8854271212988,-22.570673809417848,-37.62100516102983,-37.627835218677376,-39.85295099129345,-286.5088228540678,-676.3073421826293,-676.3076006907874,-676.3136688296536
CF3_radical_114.0_degrees.out,F,114.00001174084427,-337.630310528,1.3114348448482696,1308.02,741.7914591256603,0.522504,-0.174168,-14.96340458206975,-9.54431167213235,0.01586423748415,2.0242413281769753,2.8427189734034,2.8427189734034,-15.626926995128951,-15.629090300240424,-16.38498175985185,-16.385430747705175,-18.57245058125125,-19.893699382354,-19.895155191454176,-22.566088691036924,-37.63999870779473,-37.64503281402897,-39.84183514050052,-286.47535285045626,-676.3193424034364,-676.3196145172869,-676.3240907901277
CF3_radical_114.5_degrees.out,F,114.50002171096311,-337.629215619,1.3109046061124536,1315.67,750.4936181371415,0.520354,-0.17345133333333332,-14.981404913280326,-9.41859507320135,0.1336079005955,2.01328874569435,2.836514777612,2.836514777612,-15.6526961767713,-15.654043140331275,-16.3835395564442,-16.383784458909652,-18.570913137995927,-19.90276077357565,-19.903645143589774,-22.560483145716624,-37.6579446162352,-37.660856234435556,-39.82938593184015,-286.4399508385062,-676.33083921362,-676.3311113274706,-676.3337372261279
CF3_radical_115.0_degrees.out,F,114.99999901182674,-337.62787875099997,1.3104106889787765,1323.38,759.3153744347004,0.51817,-0.17272300000000004,-14.998480057399199,-9.28803484773145,0.25464414129790003,2.0007442971863,2.830024862277575,2.830024862277575,-15.677567382707,-15.6779483420977,-16.381022503327074,-16.38106332040465,-18.568504930419,-19.910543229699954,-19.910760920780348,-22.553625876684027,-37.67467961804095,-37.6751422115868,-39.81539927992445,-286.40177326528107,-676.3417237676401,-676.3420230928755,-676.3426353490393
CF3_radical_115.5_degrees.out,F,115.50000804100536,-337.626276804,1.3099531908602,1330.61,767.6347482514549,0.515963,-0.17198766666666665,-15.014453140423552,-9.152195613561851,0.37913622790164997,1.986227023262125,2.8231675932449747,2.8231675932449747,-15.700683454306976,-15.701377344625751,-16.377036035417248,-16.3773353606528,-18.565117112980275,-19.916325649023072,-19.9168290596465,-22.545271981473675,-37.6878227170201,-37.68997241643905,-39.799752733520705,-286.3606024397004,-676.3504994393187,-676.3518736142637,-676.3521185167292
CF3_radical_116.0_degrees.out,F,115.9999997661974,-337.62438198899997,1.309533703820094,1338.14,776.3475118010323,0.51379,-0.17126333333333332,-15.029120076965501,-9.01031545191115,0.5074379084124,1.9693015417610251,2.815983787591775,2.815983787591775,-15.722112420033852,-15.723894765754626,-16.3715121242521,-16.37213798610825,-18.56047757182925,-19.9200400030824,-19.92126451540965,-22.535067712079925,-37.69865284827,-37.703469263423855,-39.7820109104681,-286.31521384943704,-676.3574383425064,-676.3609350054853,-676.3612071193359
CF3_radical_116.5_degrees.out,F,116.50000676934742,-337.622159731,1.3091581960281002,1346.14,785.6579658736724,0.51173,-0.17057666666666668,-15.042208753174549,-8.861659655383,0.63971245114045,1.949355596519375,2.808555079473125,2.808555079473125,-15.742044759582976,-15.744874743628175,-16.364151444596075,-16.365103843072824,-18.554273376037848,-19.9215094178751,-19.923427820521127,-22.52250965787935,-37.707401308563576,-37.714653142679396,-39.76172482291332,-286.26465509601417,-676.3633160016773,-676.3687038559171,-676.3689759697677
CF3_radical_117.0_degrees.out,F,117.00000591808403,-337.619566696,1.3088370770338216,1354.78,795.7755895727594,0.509885,-0.16996200000000003,-15.05331099827495,-8.70533024827075,0.7760142788559,1.9256136630632499,2.800935891659125,2.800935891659125,-15.760113119256175,-15.763827473315501,-16.35445058582575,-16.355661492460477,-18.545960297905076,-19.920108031545027,-19.922584267584575,-22.506849505783073,-37.713551081584875,-37.72277574111683,-39.73807812930487,-286.2071982564811,-676.3677514574404,-676.3746495435505,-676.3749352630936
